 xacc   yacc    zacc   xgyr   ygyr  zgyr
001340 000204 -16660 -00265 -00027 000116
001236 000148 -16976 -00266 -00053 000104
001380 000168 -16868 -00266 -00042 000102
001392 000160 -16884 -00263 -00034 000107
001320 000160 -16980 -00253 -00041 000093
001332 000192 -16948 -00249 -00021 000096
001440 000156 -17064 -00270 -00034 000094
001300 000092 -16684 -00251 -00019 000097
001380 000268 -16928 -00238 -00027 000125
001120 000180 -16836 -00248 -00038 000092
001396 000152 -17136 -00512 -00026 000107
001352 000148 -16884 -00267 -00011 000105
001352 000172 -17028 -00256 -00018 000098
001316 000112 -16700 -00511 -00032 000089
001324 000140 -16852 -00273 -00007 000082
001372 000192 -16952 -00512 -00031 000098
001296 000176 -17108 -00258 -00024 000121
001332 000132 -16792 -00265 -00042 000111
001100 000144 -16844 -00259 -00015 000103
001304 000284 -16992 -00251 -00016 000087
001416 000164 -16940 -00241 -00042 000114
001304 000196 -16932 -00248 -00026 000108
001300 000064 -16792 -00245 -00019 000117
001344 000144 -16900 -00246 -00042 000078
001348 000180 -17024 -00266 -00042 000093
001308 000080 -16968 -00264 -00016 000105
001224 000140 -17052 -00247 -00016 000107
001308 000196 -16924 -00269 -00021 000107
001112 000112 -16904 -00267 -00012 000111
001324 000144 -17032 -00509 000249 000100
001344 000144 -17052 -00266 -00013 000123
001368 000212 -17016 -00270 -00027 000127
001364 000136 -16936 -00004 -00037 000118
001368 000176 -16904 -00001 -00036 000097
001524 000132 -16760 -00272 -00026 000115
001392 000144 -17076 -00266 -00047 000118
001380 000132 -17188 -00002 -00014 000110
001296 000128 -16992 -00261 -00011 000122
001392 000172 -16732 -00240 -00052 000099
001484 000108 -16856 -00007 -00020 000105
001380 000208 -16876 -00280 -00007 000131
001396 000132 -16848 -00260 -00024 000097
001348 000116 -16768 -00268 -00027 000074
001276 000104 -17016 -00266 -00018 000110
001316 000168 -16868 -00239 -00015 000113
001324 000096 -16696 -00252 -00026 000118
001368 000132 -17072 -00273 -00023 000090
001404 000232 -16664 -00276 -00030 000100
001488 000020 -16972 -00275 -00039 000101
001324 000124 -16936 -00239 000248 000098
001336 000164 -16844 -00272 -00029 000095
001280 000144 -17048 -00251 -00022 000081
001312 000136 -16908 -00254 -00016 000103
001516 000172 -16644 -00509 -00041 000098
001276 000256 -16976 -00239 -00019 000115
001320 000188 -16808 -00246 -00033 000110
001068 000164 -16880 -00248 -00024 000093
001400 000200 -16928 -00255 -00017 000103
001304 000120 -16944 -00251 -00031 000102
001088 000156 -17012 -00259 -00044 000091
001380 000096 -16880 -00245 -00041 000108
001224 000176 -16652 -00266 -00017 000099
001276 000124 -16984 -00264 -00033 000114
001348 000156 -16908 -00274 -00019 000100
001028 000136 -17084 -00256 -00036 000079
001396 000180 -16992 -00260 -00001 000114
001312 000228 -16860 -00260 -00037 000115
001340 000228 -16996 -00249 -00053 000117
001436 000156 -16932 -00262 -00043 000103
001392 000188 -17028 -00276 -00028 000113
001496 000188 -16800 -00248 -00033 000112
001500 000160 -16660 -00507 -00042 000114
001432 000160 -16968 -00250 -00037 000115
001376 000208 -16956 -00260 -00028 000109
001432 000160 -16812 -00266 -00010 000101
001380 000128 -17012 -00512 -00015 000093
001360 000192 -16848 -00248 -00024 000099
001280 000144 -17092 -00247 -00038 000102
001396 000088 -16804 -00246 000250 000113

